Kepolisian Daerah;Crime Total;Crime Cleared;Clearance Rate;Crime Clock;Crime Rate;;;;;;;
A c e h;9.150;3.126;32,14;00.57'26'';181;;;;;;;
Sumatera Utara;40.709;18.708;45,96;00.12'54'';308;;;;;;;
Sumatera Barat;14.324;6.593;46,03;00.36'41'';289;;;;;;;
Riau;9.399;4.282;45,56;00.55'55'';159;;;;;;;
Jambi;6.510;2.707;41,58;01.20'44'';201;;;;;;;
Sumatera Selatan;22.882;7.805;34,11;00.22'58'';297;;;;;;;
Bengkulu;4.550;2.385;52,42;01.55'30'';258;;;;;;;
Lampung;4.812;564;11,72;01.49'13'';62;;;;;;;
Bangka Belitung;2.515;433;17,22;03.28'59'';194;;;;;;;
Kepulauan Riau;4.278;2.231;52,15;02.02'51'';232;;;;;;;
Metro Jaya 1);49.498;35.605;71,93;00.10'37'';213;;;;;;;
Jawa Barat;24.843;10.633;42,8;00.21'09'';66;;;;;;;
Jawa Tengah;14.859;12.938;87,07;00.35'22'';46;;;;;;;
DI Yogyakarta;6.727;1.902;28,27;01.18'07'';191;;;;;;;
Jawa Timur;16.913;8.051;47,6;00.31'04'';45;;;;;;;
Banten;4.259;2.367;55,58;02.03'24'';87;;;;;;;
Bali;5.980;4.015;67,14;01.27'53'';148;;;;;;;
Nusa Tenggara Barat;8.928;4.896;54,84;00.58'52'';195;;;;;;;
Nusa Tenggara Timur;6.844;3.749;54,78;01.16'47'';141;;;;;;;
Kalimantan Barat;9.430;4.906;52,03;00.55'44'';212;;;;;;;
Kalimantan Tengah;2.983;1.797;60,24;02.56'11'';131;;;;;;;
Kalimantan Selatan;7.080;4.708;66,5;01.14'14'';188;;;;;;;
Kalimantan Timur;9.251;5.253;56,78;00.56'48'';285;;;;;;;
Sulawesi Utara;7.609;5.119;67,28;01.09'04'';224;;;;;;;
Sulawesi Tengah;7.815;3.631;46,46;01.07'15'';286;;;;;;;
Sulawesi Selatan;17.124;11.019;64,35;00.30'41'';182;;;;;;;
Sulawesi Tenggara;7.059;4.610;65,31;01.14'27'';304;;;;;;;
Gorontalo;3.735;1.628;43,59;02.20'43'';344;;;;;;;
Maluku;2.186;744;34,03;04.00'26'';135;;;;;;;
Maluku Utara;1.177;391;33,22;07.26'33'';108;;;;;;;
Papua;8.655;4.231;48,89;01.00'43'';219;;;;;;;
